epoch,accuracy,loss,val_accuracy,val_loss
0,0.840749979019165,0.8504936695098877,0.9279166460037231,0.28247174620628357
1,0.9223958253860474,0.28829798102378845,0.9552500247955322,0.17619061470031738
2,0.9430624842643738,0.2022692710161209,0.965666651725769,0.1385783702135086
3,0.952833354473114,0.16405196487903595,0.9692500233650208,0.13918320834636688
4,0.9572083353996277,0.1451273411512375,0.9705833196640015,0.13708269596099854
5,0.9632499814033508,0.1287882924079895,0.9710833430290222,0.13147644698619843
6,0.9652916789054871,0.12022650241851807,0.9705833196640015,0.1342041790485382
7,0.9677916765213013,0.11316271871328354,0.9732499718666077,0.13267992436885834
8,0.9687708616256714,0.1056395024061203,0.9731666445732117,0.12461768835783005
9,0.9711666703224182,0.10004577785730362,0.9706666469573975,0.15657463669776917
10,0.9705416560173035,0.10577601194381714,0.9713333249092102,0.15497131645679474
11,0.9733333587646484,0.09102543443441391,0.9739999771118164,0.14354245364665985
12,0.9739375114440918,0.09359508007764816,0.9705833196640015,0.1591218262910843
13,0.9748749732971191,0.0879962369799614,0.9722499847412109,0.13796506822109222
14,0.9757500290870667,0.08895610272884369,0.9764999747276306,0.14162535965442657
15,0.9769791960716248,0.08171296864748001,0.9779166579246521,0.13293451070785522
16,0.9782500267028809,0.07793226093053818,0.9760833382606506,0.1663922667503357
17,0.979645848274231,0.07577444612979889,0.9725000262260437,0.16365447640419006
18,0.9796249866485596,0.0766855925321579,0.9742500185966492,0.1558847874403
19,0.9803333282470703,0.07300806045532227,0.9789166450500488,0.12723727524280548
